ID;Authority;AuthorityCountry;Date;Fine;OrganizationPublished;Specific;OrganizationMatched;OrganizationCountry;OrganizationSector;OrganizationRevenue;OrganizationEmployees;OrganizationStatus;OrganizationDomestic;Articles;Type;Summary;Source
191;Spanish Data Protection Authority (aepd);Spain;14.01.20;3600;Zhang Bordeta 2006, S.L. (Store and Restaurant);Yes;Zhang Bordeta 2006, S.L.;Spain;Food & Beverage;NA;NA;NA;Yes;Art. 5 GDPR;Non-compliance with general data processing principles;The store and restaurant owner installed a video surveillance system which, among others, also took pictures of the sidewalk and thus of the public space, which violates the fundamental principle of data minimization.;https://www.aepd.es/es/documento/ps-00397-2019.pdf
192;Spanish Data Protection Authority (aepd);Spain;03.02.20;60000;Xfera Moviles S.A.;Yes;Xfera Moviles Sau;Spain;Telecommunications;1500000000;473;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;According to the data protection authority, XFERA MOVILES has violated Article 6(1) of the GDPR, as the company has unlawfully processed data, including bank details, customer address and name of the data subjects.;https://www.aepd.es/es/documento/ps-00227-2019.pdf
193;Spanish Data Protection Authority (aepd);Spain;03.02.20;75000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The fine preceded the complaint by the data subject, who argued that Vodafone Espana had signed a contract for the transfer of a telephone subscription with a third party without the data subject's knowledge or consent and that, as a result, he, the data subject, had received an e-mail from the third party for a purchase made by him.;https://www.aepd.es/es/documento/ps-00270-2019.pdf
194;Spanish Data Protection Authority (aepd);Spain;03.02.20;60000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The fine was preceded by a complaint from the data subject, who argued that he had received an e-mail from Vodafone Espana, which contained the billing of a telephone line that the data subject had never requested, which led to his personal data being processed without his consent. As a result, the data subject's personal data were incorporated into the information systems of Vodafone Espana without Vodafone being able to show that the data subject had consented to the collection and subsequent processing of his personal data. The fine of 100,000 EUR was reduced to 60,000 EUR due to a voluntary payment.;https://www.aepd.es/es/documento/ps-00405-2019.pdf
195;Spanish Data Protection Authority (aepd);Spain;03.02.20;50000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR;Non-compliance with general data processing principles;The fine was preceded by a complaint from a data subject who argued that Vodafone Espana had sent invoices containing his personal data, such as name, identity card and address, to its neighbour.;https://www.aepd.es/es/documento/ps-00275-2019.pdf
196;Spanish Data Protection Authority (aepd);Spain;03.02.20;20000;Iberia Lineas Aereas de Espana, S.A. Operadora Unipersonal;Yes;Iberia Lineas Aereas De España Sociedad Anonima Operadora;Spain;Aviation;5000000000;15755;Private;Yes;Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR;Insufficient legal basis for data processing;Iberia continued to send e-mails to the data subject, despite the data subject had requested the withdrawal of his consent and the erasure of his personal data and that the execution of these measures had already been confirmed to him.;https://www.aepd.es/es/documento/ps-00402-2019.pdf
197;Spanish Data Protection Authority (aepd);Spain;03.02.20;75000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The data subject, a former customer of the company, continued to receive invoice notifications, although at that time there was neither a contractual relationship nor any payment overdue from the expired contractual relationship. As a reason for the incorrect mailings Vodafone indicated a technical error.;https://www.aepd.es/es/documento/ps-00278-2019.pdf
198;Spanish Data Protection Authority (aepd);Spain;03.02.20;6670;Banco Bilbao Vizcaya Argentaria S.L.;Yes;Banco Bilbao Vizcaya Argentaria SA;Spain;Banks;31800000000;123174;Public;Yes;Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR;Insufficient legal basis for data processing;The company repeatedly sent advertising messages to a data subject, although the data subject had objected to the processing of his data.;https://www.aepd.es/es/documento/ps-00400-2019.pdf
199;Spanish Data Protection Authority (aepd);Spain;03.02.20;5000;Queseria Artesenal Ameco S.L.;Yes;Queseria Artesanal Ameco S.L.;Spain;Food & Beverage;NA;100;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The company processed personal data of customers without required consent.;https://www.aepd.es/es/documento/ps-00259-2019.pdf
200;Spanish Data Protection Authority (aepd);Spain;03.02.20;800;Automocion;Yes;Gestamp Automoción SA;Spain;Industrial;7200000000;40811;Public;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;An employee created a fake profile about a female colleague on an erotic portal, which contained, among other things, her contact details, a photo of her and information about her sexual nature. Based on the profile, the data subject received several phone calls from people who wanted to contact her regarding the information provided on the website. As the private person was found to have a personality disorder, the fine was reduced from initial EUR 1000 to EUR 800.;https://www.aepd.es/es/documento/ps-00292-2019.pdf
201;Spanish Data Protection Authority (aepd);Spain;04.02.20;1500;Cafeteria Nagasaki;Yes;Cafeteria Nagasaki Cerveceria;Spain;Restaurants, Cafes & Bars;NA;NA;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The AEPD found that the Nagasaki Cafeteria did not comply with its obligations under the GDPR, as it placed its surveillance cameras in such a way as to monitor the public space outside its premises, which disproportionately affected pedestrians.;https://www.aepd.es/es/documento/ps-00427-2018.pdf
202;Italian Data Protection Authority (Garante);Italy;15.01.20;10000;Community of Francavilla Fontana;Yes;NA;Italy;Politics & Government;NA;NA;Other;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The community published on its website information about a court trial, including personal data such as health data about a data subject.;https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9261227
203;Data Protection Authority of Hamburg;Germany;NA;51000;Facebook Germany GmbH;Yes;Meta Platforms, Inc;United States;IT Services;103164000000;71970;Public;No;Art. 37 GDPR;Insufficient involvement of data protection officer;Whereas Facebook Ireland had appointed a data proteciton officer for all group companies located in the EU, this appontment was not notfied to the DPA Hamburg, competent for Facebook Germany GmbH. The fine was calculated on the basis of the turnover of the German branch (EUR 35 million). Relevant factors for the calculation were i.a. that the omitted notification was immediately made up for, Facebook acted negligently and did not violate the duty to appoint a data protection officer but only the notification obligation.;https://datenschutz-hamburg.de/assets/pdf/28._Taetigkeitsbericht_Datenschutz_2019_HmbBfDI.pdf
204;Data Protection Authority of Hamburg;Germany;NA;20000;Hamburger Verkehrsverbund GmbH (HVV GmbH);Yes;HVV Hamburger Verkehrsverbund GmbH;Germany;Transportation & Logistics;6100000;64;Private;Yes;Art. 33 GDPR, Art. 34 GDPR;Insufficient fulfilment of data breach notification obligations;On July 6, 2018, HVV GmbH was informed by a customer about a security gap on the website www.hvv.de, which was caused by an update on February 5, 2018 and concerned the so-called Customer E-Service (CES). The security gap consisted in the fact that customers logged in to the CES who had an HVV Card and linked their CES customer account to at least one active contractual relationship in background systems could, by changing the URL, display data of other customers who had an HVV Card. This data breach was not reported to the data protection authority in a timely manner.;https://datenschutz-hamburg.de/assets/pdf/28._Taetigkeitsbericht_Datenschutz_2019_HmbBfDI.pdf
205;Data Protection Authority of Hamburg;Germany;NA;NA;Hamburger Volksbank eG;Yes;Hamburger Volksbank eG;Germany;Banks;NA;440;Private;Yes;Art. 21 GDPR;Insufficient fulfilment of data subjects rights;The company had sent a customer a newsletter with advertising content by e-mail, although this customer had previously expressly objected to the sending of further advertising letters.;https://datenschutz-hamburg.de/assets/pdf/28._Taetigkeitsbericht_Datenschutz_2019_HmbBfDI.pdf
206;Spanish Data Protection Authority (aepd);Spain;14.02.20;2500;Grupo Valsor Y Losan, S.L.;Yes;NA;NA;NA;NA;NA;NA;Yes;Art. 5 (1) f) GDPR;Insufficient technical and organisational measures to ensure information security;The controller had disclosed personal data to a third party in a property purchase agreement (breach of principles of integrity and confidentiality of personal data);https://www.aepd.es/es/documento/ps-00298-2019.pdf
207;Spanish Data Protection Authority (aepd);Spain;14.02.20;3000;Colegio Arenales Carabanchel (School);Yes;Colegio Arenales Carabanchel;Spain;Education;NA;NA;NA;Yes;Art. 6 GDPR;Insufficient legal basis for data processing;The decision of the data protection authority states that the school transferred pictures (and therefore personal data) to third parties, who published them without legal basis.;https://www.aepd.es/es/documento/ps-00466-2019.pdf
208;Spanish Data Protection Authority (aepd);Spain;18.02.20;1500;Mymoviles Europa 2000, S.L.;Yes;NA;Spain;NA;NA;NA;NA;Yes;Art. 13 GDPR;Insufficient fulfilment of information obligations;The AEPD found that the company did not publish a privacy statement on its website and that its legal notice did not sufficiently identify itself.;https://www.aepd.es/es/documento/ps-00423-2019.pdf
209;Spanish Data Protection Authority (aepd);Spain;14.02.20;80000;Iberdrola Clientes;Yes;Iberdrola Clientes Sociedad Anonima.;Spain;Energy;8000000000;623;Private;Yes;Art. 6 GDPR;Insufficient legal basis for data processing;Iberdola Clientes, an electricity company, terminated the data subject's contract without its consent, concluded three new contracts with the data subject, processed his personal data unlawfully and transferred the plaintiff's personal data to a third party without legal basis. In addition to this fine the AEPD also imposed another fine in the amount of EUR 50.000 under the old Spanish Data Protection Law.;https://www.aepd.es/es/documento/ps-00181-2019.pdf
210;Spanish Data Protection Authority (aepd);Spain;14.02.20;42000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;The complainant had access to third party data in his personal Vodafone profile.;https://www.aepd.es/es/documento/ps-00471-2019.pdf
211;Spanish Data Protection Authority (aepd);Spain;14.02.20;30000;Xfera Moviles S.A.;Yes;Xfera Moviles Sau;Spain;Telecommunications;1500000000;473;Private;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;The AEPD found that a third party had access to the name, telephone number and address of another customer.;https://www.aepd.es/es/documento/ps-00385-2019.pdf
212;Italian Data Protection Authority (Garante);Italy;23.01.20;30000;Azienda Ospedaliero Universitaria Integrata di Verona (Hospital);Yes;Azienda Ospedaliera Universitaria Integrata Verona;Italy;Hospitals;358800000;5000;Private;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;The fine was preceded by access to health data by unauthorised persons, allowing a trainee and a radiologist to gain access to the health data of their colleagues. The investigations revealed that the technical and organisational measures taken by the hospital to protect health data had proved to be insufficient to ensure adequate protection of patients' personal data, resulting in unlawful data processing. According to the data protection authority, the breach could have been avoided if the hospital had simply followed the guidelines for health records issued by the data protection authority in 2015, which stipulate that access to health records must be restricted only to health personnel involved in patient care.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9269629
213;Italian Data Protection Authority (Garante);Italy;23.01.20;30000;Sapienza Universita di Roma;Yes;Universita' Degli Studi Di Roma La Sapienza;Italy;Education;1700000000;19631;Private;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;The fine is based on the fact that, according to the data protection authority, the Sapienza Universita made available online identification data of two people who had reported possible illegal behaviour to the university. This was due to the lack of adequate technical access control measures within the whisleblowing management system, which had not limited access to such data to authorized personnel only.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9269618
214;Spanish Data Protection Authority (aepd);Spain;27.02.20;120000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;Vodafone Espana was unable to prove to the data protection authority that the data subject had given his consent to the processing of his personal data for the provision of a telephone contract. Furthermore, the decision of the data protection authority emphasises that Vodafone Espana also unlawfully disclosed the personal data of the data subject to various credit agencies.;https://www.aepd.es/es/documento/ps-00235-2019.pdf
215;Spanish Data Protection Authority (aepd);Spain;28.02.20;48000;Vodafone ONO, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;The decision was taken due to several deficiencies in information security. For example, two people were given the same security access key.;https://www.aepd.es/es/documento/ps-00212-2019.pdf
216;Spanish Data Protection Authority (aepd);Spain;25.02.20;48000;HM Hospitales;Yes;Hm Hospitales 1989 Sa.;Spain;Hospitals;279200000;1632;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The data subject stated that at the time of his admission to hospital he had to fill in a form containing a checkbox indicating that, if he did not tick it, he agreed to the transfer of his data to third parties. This form, provided by HM, was not compatible with the GDPR, since consent was to be obtained through the inactivity of the data subject.;https://www.aepd.es/es/documento/ps-00187-2019.pdf
217;Spanish Data Protection Authority (aepd);Spain;25.02.20;6000;Casa Gracio Operation;Yes;Casa Gracio Operation;Spain;Accommodation;NA;NA;Private;Yes;Art. 5 (1) c) GDPR;Non-compliance with general data processing principles;The company used CCTV cameras in the premises of a hotel which also captured the public roads outside the hotel resulting in a violation of the so called principle of data minimisation.;https://www.aepd.es/es/documento/ps-00369-2019.pdf
219;Spanish Data Protection Authority (aepd);Spain;28.02.20;3600;AEMA Hispanica;Yes;Aema Hispanica Sl;Spain;Services;9700000;500;Private;Yes;Art. 5 (1) f) GDPR;Non-compliance with general data processing principles;The company had sent the payroll of an employee to another employee and therefore disclosed personal data to an unauthorised party.;https://www.aepd.es/es/documento/ps-00455-2019.pdf
220;Spanish Data Protection Authority (aepd);Spain;03.03.20;1800;Solo Embrague;Yes;Solo Embrague;Spain;Services;NA;NA;NA;Yes;Art. 13 GDPR;Insufficient fulfilment of information obligations;The corporate website did not present a privacy policy or a cookie banner on its main page.;https://www.aepd.es/es/documento/ps-00469-2019.pdf
221;Spanish Data Protection Authority (aepd);Spain;03.03.20;42000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;According to the AEPD, the company had not been able to demonstrate adequate measures to ensure information security, leading to unauthorized access to personal data of a client.;https://www.aepd.es/es/documento/ps-00474-2019.pdf
222;Spanish Data Protection Authority (aepd);Spain;03.03.20;40000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;According to the AEPD, the company sent an SMS to an clients mobile number confirming that a telephone contract with that number had been signed even though the client was not a Vodafone client, resulting in the processing of personal data without the data subjects consent or other legitimate interests of the company.;https://www.aepd.es/es/documento/ps-00421-2019.pdf
223;Spanish Data Protection Authority (aepd);Spain;03.03.20;24000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;According to the AEPD, the company sent two SMS to an clients mobile number informing about a rate change in its contract and confirming the purchase of a new mobile phone, resulting in the processing of personal data without the data subjects consent or other legitimate interests of the company.;https://www.aepd.es/es/documento/ps-00426-2019.pdf
224;Polish National Personal Data Protection Office (UODO);Poland;04.03.20;0;School in Gdansk (Danzig) (fine imposed against town of Gdansk);No;NA;Poland;Education;NA;NA;NA;Yes;Art. 5 GDPR, Art. 9 GDPR;Insufficient legal basis for data processing;Original summary: A school in Gdansk used biometric fingerprint scanners to authenticate students for the payment process in the school canteen. Although the parents had given their written consent to such data processing, the data protection authority considered the processing of the student data to be unlawful, as the consent to data processing was not given voluntarily. Update: Update: On August 7, 2020, the Provincial Administrative Court in Warsaw overturned the decision of the Polish DPA imposing a fine of EUR 4,600.;https://uodo.gov.pl/decyzje/ZSZZS.440.768.2018,
225;Spanish Data Protection Authority (aepd);Spain;04.03.20;60000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;According to the AEPD, the data subject has received several SMS from a separate operator indicating the activation of a new contract. The reason for this was that an employee of Vodafone Espana activated a contract with a third operator on behalf of the data subject. Vodafone could not demonstrate consent or sufficient legitimate interests for this processing of personal data.;https://www.aepd.es/es/documento/ps-00429-2019.pdf
226;Italian Data Protection Authority (Garante);Italy;06.03.20;4000;Liceo Artistico Statale di Napoli;Yes;Liceo Artistico Statale Di Napoli;Italy;Education;NA;NA;NA;Yes;Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR;Insufficient legal basis for data processing;The AEPD's decision reveals that the high school unlawfully published health data and other information in the teacher rankings published on the Institute's website. This publication was made in violation of the principles of lawfulness, fairness, transparency and data minimization.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9283029
227;Italian Data Protection Authority (Garante);Italy;06.03.20;4000;Liceo Scientifico Nobel di Torre del Greco;Yes;Liceo Scientifico Alfred Nobel;Italy;Education;NA;NA;NA;Yes;Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR;Insufficient legal basis for data processing;The AEPD's decision reveals that the high school unlawfully published health data and other information of more than 2000 teachers in the teacher rankings published on the Institute's website. This publication was made in violation of the principles of lawfulness, fairness, transparency and data minimization.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9283014
229;Spanish Data Protection Authority (aepd);Spain;09.03.20;15000;Gesthotel Activos Balagares;Yes;Gesthotel Activos Balagares Sociedad Limitada.;Spain;Accommodation;3000000;38;Private;Yes;Art. 5 (1) f) GDPR;Non-compliance with general data processing principles;The data subject argued that he had sent a private letter to the hotel management and union delegates containing information about an episode of harassment he had suffered, describing a specific medical condition. In violation of the principle of integrity and confidentiality, the hotel management and union delegates subsequently read the contents of this letter in a meeting with other employees.;https://www.aepd.es/es/documento/ps-00358-2019.pdf
230;Danish Data Protection Authority (Datatilsynet);Denmark;10.03.20;7000;Horsholm Municipality;Yes;Hørsholm Kommune;Denmark;Politics & Government;117200000;1000;Other;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;A city government employee had his work computer stolen, which contained the personal data of about 1,600 city government employees, including sensitive information and information about social security numbers.;https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2020/mar/to-kommuner-indstillet-til-boede/
231;Danish Data Protection Authority (Datatilsynet);Denmark;10.03.20;14000;Gladsaxe Municipality;Yes;Gladsaxe Kommune;Denmark;Politics & Government;111700000;1000;Other;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;A computer, containing personal data that was not protected by encryption, has been stolen, including sensitive information and personal identification numbers of 20,620 city residents.;https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2020/mar/to-kommuner-indstillet-til-boede/
232;Data Protection Authority of Sweden (Integritetsskyddsmyndigheten);Sweden;11.03.20;5000000;Google LLC;Yes;Google LLC;United States;IT Services;66000000000;139995;Public;No;Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR;Insufficient fulfilment of data subjects rights;"Original Fine Summary: The Swedish data protection authority has fined Google LLC ? 7 million for failing to adequately comply with its obligations regarding the right of data subjects to have search results removed from the results list. Integritetsskyddsmyndigheten had already completed a review in 2017 of the way in which Google deals with the right of individuals to have search results removed from Google's search engine and that Integritetsskyddsmyndigheten had instructed Google to remove a number of search results. In addition, data inspections stated that it had initiated a further review of Google's practices in 2018 after it received indications that several of the results that should have been removed still appeared in search results. Integritetsskyddsmyndigheten also objected to Google's current practice of informing web site owners about which results Google is removing from search results, specifically which link has been removed and who is behind the request for removal from the list, as this is without legal basis.

Update: On November 23th, 2020, after an appeal against the fine, the The Administrative Court of Stockholm announced that it had rejected Google LLCs appeal.
However the court reduced the fine from a total of SEK 75 million (approx. EUR  7 million) to SEK 52 million (approx. EUR 5 million).";https://www.datainspektionen.se/globalassets/dokument/beslut/2020-03-11-beslut-google.pdf
233;Icelandic data protection authority ('Personuvernd');Iceland;10.03.20;20600;National Center of Addiction Medicine ('SAA');Yes;Samtök áhugafólks um áfengis- og vímuefnavandann (SÁÁ);Iceland;Politics & Government;8740000;NA;Other;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;Personuvernd noted that a former employee of the SAA received boxes of allegedly personal belongings that he had left there, but which also contained patient data, including the health records of 252 former patients and documents with the names of about 3,000 people who had participated in rehabilitation for alcohol and drug abuse.;https://www.personuvernd.is/urlausnir/nr/2882
234;Icelandic data protection authority ('Personuvernd');Iceland;10.03.20;9000;BreiTHholt Upper Secondary School;No;Fjölbrautaskólinn í Breiðholti;Iceland;Education;NA;NA;NA;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;In violation of Art. 32 GDPR, a teacher had sent an e-mail to his students and their parents with an attachment containing data on their well-being, academic performance and social conditions.;https://www.personuvernd.is/urlausnir/nr/2885
235;Norwegian Supervisory Authority (Datatilsynet);Norway;26.02.20;NA;Raelingen Municipality;No;Rælingen Kommune;Norway;Politics & Government;781960000;4432;Other;Yes;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;On February 26, 2020, the Norwegian DPA (Datatilsynet) announced that it intents to fine Raelingen Municipality EUR 73,600  for violations of Art. 5 (1) f) GDPR and Art. 32 GDPR . This fine has been imposed in the meantime, see details at link;https://www.datatilsynet.no/contentassets/bc26a2a8b78b4b30b4b060a4cac80d90/varsel-ralingen.pdf
236;Data Protection Authority of Saarland;Germany;NA;2000;Restaurant;No;NA;NA;Restaurants, Cafes & Bars;NA;NA;NA;Yes;Art. 5 (1) c) GDPR;Non-compliance with general data processing principles;Video surveillance cameras have been used in violation of principle of data minimisation (monitoring also of customer areas in restaurants).;https://www.datenschutz.saarland.de/fileadmin/user_upload/uds/tberichte/tb28_2019.pdf
237;Norwegian Supervisory Authority (Datatilsynet);Norway;28.02.20;NA;Coop Finnmark SA;Yes;Coop Finnmark Sa;Norway;Food & Beverage;98000000;427;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;On February 28, 2020, the Norwegian DPA (Datatilsynet) announced that it intents to fine Coop Finnmark SA EUR 38,600 for violations of Art. 5 GDPR and Art. 6 GDPR . This fine has been imposed in the meantime, see details at link;https://www.datatilsynet.no/contentassets/8dbf5b4b2a33471aacf375b1f0032347/varsel-om-overtredelsesgebyr.pdf
239;Croatian Data Protection Authority (azop);Croatia;13.03.20;NA;Bank (name not available at the moment);No;NA;NA;Banks;NA;NA;NA;Yes;Art. 15 (1), (3) GDPR;Insufficient fulfilment of data subjects rights;In the period from May 2018 to April 2019, the bank (name not available at the moment) refused to provide its customers with copies of credit documentation (e.g. repayment plan, loan agreement annex, interest rates changes review etc.). The bank insisted with the argument that the documentation is related to repaid loans and represents loan documentation that cannot be subject to the customers? right of access. During the procedure initiated based on data subject?s complaints, the DPA ordered the bank to enable the right of access and provide copies of the requested loan documentation. When imposing the fine, the DPA took into consideration especially that the bank failed to comply with the ordered measures, that it continued with such practice for almost a year and denied the right of access to more than 2500 of its customers. The amount of the fine is now known at the moment, but as the DPA qualified the breach as ?severe?, a high fine is expected.;https://azop.hr/aktualno/detaljnije/rjesenje-kojim-se-izrice-upravno-novcana
240;Spanish Data Protection Authority (aepd);Spain;18.03.20;30000;Telefonica;Yes;Telefónica SA;Spain;Telecommunications;41600000000;112797;Public;Yes;Art. 58 GDPR;Insufficient cooperation with supervisory authority;Telefonica had failed to comply with decision TD / 00127/2019 of the Director of the AEPD, which states that it had to reply to data subjects' request for right of access and erasure of data.;https://www.aepd.es/es/documento/ps-00351-2019.pdf
241;Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP);Romania;11.02.20;3000;Vodafone Romania;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 (1) f) GDPR, Art. 32 GDPR;Insufficient technical and organisational measures to ensure information security;Vodafone Romania had incorrectly processed personal data of an individual in order to process a complaint, which was subsequently sent to a wrong e-mail address. The reason for this was that there were insufficient security measures in place to prevent such erroneous data processing.;https://www.dataprotection.ro/?page=sanctiune_vodafone_februarie_2020&lang=ro
242;Hellenic Data Protection Authority (HDPA);Greece;21.02.20;5000;Public Power Corporation S.A.;Yes;Public Power Corporation S.A.;Greece;Energy;4200000000;14678;Private;Yes;Art. 15 GDPR;Insufficient fulfilment of data subjects rights;The Decision clarified that data subjects have a right of access to the processing of their personal data and that they must also be provided with a copy of the personal data processed. No reasons need to be given for the request.;http://www.dpa.gr/APDPXPortlets/htdocs/documentDisplay.jsp?docid=158,220,63,69,45,69,224,53
243;Spanish Data Protection Authority (aepd);Spain;16.03.20;5000;Centro De Estudio Dirigidos Delta, S.L.;Yes;NA;Spain;NA;NA;NA;NA;Yes;Art. 5 (1) f) GDPR;Non-compliance with general data processing principles;Centro De Estudio Dirigidos Delta sent a message containing personal data such as first and last name and ID numbers to a third party via WhatsApp without the consent of the data subjects. This constitutes a violation of the principles of integrity and confidentiality under Article 5(1)(f) GDPR.;https://www.aepd.es/es/documento/ps-00425-2019.pdf
245;Spanish Data Protection Authority (aepd);Spain;06.03.20;3200;Retailer;No;NA;NA;Retail & Trade;NA;NA;NA;Yes;Art. 13 GDPR, Art. 14 GDPR;Insufficient fulfilment of information obligations;Insufficient declaration of video surveillance.;https://www.aepd.es/es/documento/ps-00360-2019.pdf
246;Spanish Data Protection Authority (aepd);Spain;12.03.20;2000;Homeowners Association;No;NA;NA;NA;NA;NA;NA;Yes;Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR;Non-compliance with general data processing principles;Video surveillance of public space and thus violation of the principle of data minimization. Furthermore: Violation of information obligations, as insufficient information has been provided about video surveillance.;https://www.aepd.es/es/documento/ps-00272-2019.pdf
247;Spanish Data Protection Authority (aepd);Spain;16.03.20;6000;Amalfi Servicios de Restauracion S.L.;Yes;NA;Spain;Accommodation;NA;NA;NA;Yes;Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR;Non-compliance with general data processing principles;Video surveillance of public space and thus violation of the principle of data minimization. Furthermore: Violation of information obligations, as insufficient information has been provided about video surveillance.;https://www.aepd.es/es/documento/ps-00317-2019.pdf
248;Spanish Data Protection Authority (aepd);Spain;19.03.20;6000;Oliveros Ustrell, S.L.;Yes;Oliveros Ustrell S.L.;Spain;Retail & Trade;2500000;76;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The company forwarded an unsigned porting contract to the operator Vodafone. However, the data controller was unable to provide evidence of the order. For this reason, the personal data of the data subject has been processed without sufficient legal basis.;https://www.aepd.es/es/documento/ps-00008-2020.pdf
249;Italian Data Protection Authority (Garante);Italy;06.02.20;20000;RTI - Reti Televisive Italiane s.p.a.;Yes;Reti Televisive Italiane Spa;Italy;TV, Film & Radio;1400000000;3147;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The television station broadcasted a documentary about prostitution in Switzerland, in which the persons interviewed were not made sufficiently anonymous.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9283121
250;Hellenic Data Protection Authority (HDPA);Greece;20.03.20;8000;Speech and Special Education Centre - Mihou Dimitra;Yes;NA;Greece;Education;NA;NA;NA;Yes;Art. 15 GDPR, Art. 58 GDPR;Insufficient fulfilment of data subjects rights;The complainant had requested access to his child's data and to tax information. This request was rejected by the data controller. In addition, the data controller had violated an order of the data protection authority regarding access to the data. For this, a fine of EUR 8000 was imposed: EUR 3000 for not granting access to the data and EUR 5000 for violating orders of the data protection authority.;http://www.dpa.gr/APDPXPortlets/htdocs/documentDisplay.jsp?docid=89,253,106,96,141,223,198,107
